+------------+-----------------------+----------------------+---------------------+---------------------+--------------------+
| Num of gen |           x           |          y           |      Fit value      |         mean        |        best        |
+------------+-----------------------+----------------------+---------------------+---------------------+--------------------+
|     0      |   1.9318912050962287  |  0.3498393578942567  | -0.3318986291637085 | 0.19426169993509365 | 0.8350542022603221 |
|     0      |  -0.24535277954549217 |  0.5338885844383983  |  0.8350542022603221 |                     |                    |
|     0      |  -1.5038957502473536  |  0.2861823153619949  | 0.06413177016368336 |                     |                    |
|     0      |   0.5779543772172762  |  1.3176672468765789  | 0.20975945648007763 |                     |                    |
|     0      |  -0.24535277954549217 |  1.3176672468765789  | 0.24293445748833212 |  0.4819770498055582 | 0.7210196421227844 |
|     0      |   0.5779543772172762  |  0.5338885844383983  |  0.7210196421227844 |                     |                    |
|     0      |  -0.24535277954549217 |  1.3176672468765789  | 0.24293445748833212 |                     |                    |
|     0      |   0.5779543772172762  |  0.5338885844383983  |  0.7210196421227844 |                     |                    |
|     1      |   0.5779543772172762  |  0.5338885844383983  |  0.7210196421227844 |  0.7605489609486417 | 0.800078279774499  |
|     1      |   0.5779543772172762  |  0.5338885844383983  |  0.7210196421227844 |                     |                    |
|     1      |  0.37795437721727615  |  0.5338885844383983  |  0.800078279774499  |                     |                    |
|     1      |  0.37795437721727615  |  0.5338885844383983  |  0.800078279774499  |                     |                    |
|     2      |  0.37795437721727615  |  0.5338885844383983  |  0.800078279774499  |  0.7921041307190998 | 0.878094272092073  |
|     2      |  0.37795437721727615  |  0.7338885844383982  |  0.6901656912353283 |                     |                    |
|     2      |  0.37795437721727615  | 0.33388858443839825  |  0.878094272092073  |                     |                    |
|     2      |  0.37795437721727615  |  0.5338885844383983  |  0.800078279774499  |                     |                    |
|     3      |  0.37795437721727615  |  0.5338885844383983  |  0.800078279774499  |  0.8359344359730576 | 0.9753995007903299 |
|     3      |  0.17795437721727614  | 0.13388858443839824  |  0.9753995007903299 |                     |                    |
|     3      |  0.37795437721727615  |  0.7338885844383982  |  0.6901656912353283 |                     |                    |
|     3      |  0.37795437721727615  | 0.33388858443839825  |  0.878094272092073  |                     |                    |
|     4      | -0.022045622782723873 | 0.33388858443839825  |  0.944545549902874  |  0.9162116638827613 | 0.944545549902874  |
|     4      |  0.37795437721727615  | 0.13388858443839824  |  0.9211034167680492 |                     |                    |
|     4      |  0.37795437721727615  | 0.33388858443839825  |  0.878094272092073  |                     |                    |
|     4      |  0.37795437721727615  | 0.13388858443839824  |  0.9211034167680492 |                     |                    |
|     5      | -0.022045622782723873 | 0.13388858443839824  |  0.9908094847672191 |  0.9284292625544849 | 0.9908094847672191 |
|     5      |  0.37795437721727615  | 0.33388858443839825  |  0.878094272092073  |                     |                    |
|     5      |  -0.22204562278272388 | 0.13388858443839824  |  0.9667190212665745 |                     |                    |
|     5      |  0.37795437721727615  | 0.33388858443839825  |  0.878094272092073  |                     |                    |
|     6      | -0.022045622782723873 | 0.13388858443839824  |  0.9908094847672191 |  0.9708201156836955 | 0.9975729721540305 |
|     6      | -0.022045622782723873 | 0.13388858443839824  |  0.9908094847672191 |                     |                    |
|     6      | -0.022045622782723873 | -0.06611141556160177 |  0.9975729721540305 |                     |                    |
|     6      |  -0.4220456227827239  | 0.13388858443839824  |  0.9040885210463132 |                     |                    |
|     7      | -0.022045622782723873 | 0.33388858443839825  |  0.944545549902874  |  0.9765615171449404 | 0.9975729721540305 |
|     7      | -0.022045622782723873 | -0.06611141556160177 |  0.9975729721540305 |                     |                    |
|     7      | -0.022045622782723873 | 0.13388858443839824  |  0.9908094847672191 |                     |                    |
|     7      |  -0.22204562278272388 | -0.06611141556160177 |  0.9733180617556382 |                     |                    |
|     8      |  0.17795437721727614  | 0.13388858443839824  |  0.9753995007903299 |  0.9843161165912413 | 0.9975729721540305 |
